R.No,Boarding Point,Time,lat,lon,students per stop
21C,"Gandhi Road, Chennai",06:17:00,13.0732387,80.2089539,7
21C,"Race Course Road, Chennai",06:18:00,13.0041328,80.2121276,13
21C,"NGO Colony, Chennai",06:25:00,12.9948953,80.2077603,15
21C,"Thillaiganga nagar subway, Chennai",06:35:00,12.9915521,80.1941145,11
22,"Sholinganallur, Chennai",05:50:00,12.9174426,80.2164902,4
22,"Saravana Stores, Chennai",05:55:00,13.0862345,80.2569675,13
22,"MGR Road, Chennai",06:15:00,12.9735429,80.1833132,7
22,"Baby Nagar, Chennai",06:24:00,12.9803651,80.2291946,19
23,"Kovilambakkam, Chennai",06:15:00,12.9392427,80.1825888,2
23b,"Pallavaram, Chennai",06:03:00,12.9675742,80.1520504,10
23b,"Meenambakkam, Chennai",06:25:00,12.9866009,80.1726357,13
23b,"Airport, Chennai",06:28:00,12.9827783,80.1693251,6
24,"JK Mahal, Chennai",06:28:00,12.9761372,80.1831511,12
24,"Independence Park, Chennai",06:35:00,12.9810647,80.1858797,12
24C,"Pallavaram Bus Stand, Chennai",06:40:00,12.9692964,80.1502505,20
25,"VGP, Chennai",06:00:00,12.9205826,80.251487,11
25,"Butt Road, Chennai",06:04:00,13.0080046,80.1986131,7
25,"Kotivakkam Bus Stop, Chennai",06:19:00,12.96954,80.2575889,1
25,"Tidel Park, Chennai",06:28:00,12.9895935,80.2488721,1
25C,"Madhya Kailash, Chennai",06:03:00,13.006241,80.2470822,20
25C,"Butt Road, Chennai",06:04:00,13.0080046,80.1986131,13
25C,"Besant Nagar, Chennai",06:18:00,12.9996907,80.2682259,9
25C,"BSNL Office Adyar, Chennai",06:22:00,13.0002744,80.2564084,3
25C,"Adyar Signal, Chennai",06:24:00,13.0070713,80.2586412,7
26,"New College, Chennai",06:02:00,13.0533161,80.2594826,6
26,"D1 Police Station, Chennai",06:05:00,13.0683459,80.2135958,8
26,"ICE House, Chennai",06:12:00,13.049045,80.2804835,9
26,"Fire Office, Chennai",06:23:00,18.117321,83.3985962,5
27,"Airtel Office, Chennai",06:00:00,13.0931823,80.2910257,1
27,"Kotturpuram, Chennai",06:02:00,13.0193703,80.2435512,19
27,"Mandaveli Bus Depot, Chennai",06:03:00,13.0265149,80.2663081,10
27,"Devanathan Street, Chennai",06:05:00,13.0280072,80.2636917,12
27,"Mandaveli Post office, Chennai",06:07:00,13.0293213,80.2661449,15
27,"Kaliappa Hospital, Chennai",06:13:00,13.0268492,80.2558082,9
27,"TTK Road, Chennai",06:17:00,13.0391574,80.2573998,20
27C,"Light House, Chennai",06:01:00,13.0455374,80.2769885,17
27C,"Jain Temple, Chennai",06:01:00,13.0345965,80.2715611,17
27C,"Music Academy, Chennai",06:02:00,13.045914,80.2596589,20
27C,"Santhome Church, Chennai",06:07:00,13.0335889,80.2777851,12
27C,"Luz Corner, Chennai",06:12:00,13.0370202,80.2664553,7
27C,"New Woodlands, Chennai",06:17:00,13.0446727,80.2630248,2
28,"Sekar Emporium, Chennai",06:03:00,13.0537201,80.2280198,3
28,"Kodambakkam Bridge, Chennai",06:28:00,13.0541252,80.2311561,17
28,"Power House, Chennai",06:35:00,12.9990656,80.2577535,5
28B,"Porur, Chennai",06:05:00,13.0320131,80.158304,17
28B,"Valasaravakkam, Chennai",06:35:00,13.0410164,80.1721682,17
28C,"Lakshman Sruthi, Chennai",06:03:00,13.0445465,80.2125402,17
28C,"Karapakkam, Chennai",06:05:00,12.9117073,80.2277203,2
29,"Surya Hospital, Chennai",06:20:00,13.0390564,80.2568208,2
29,"Parvathi Bhavan, Chennai",06:21:00,13.0387921,80.2570003,5
29,"Dasarathapuram, Chennai",06:23:00,13.0571469,80.2022243,1
29,"AVM Colony, Chennai",06:29:00,13.0516292,80.1969822,1
29C,"Mega Mart, Chennai",06:40:00,12.9745005,80.2201156,19
2C,"Periyar nagar, Chennai",05:57:00,13.1151671,80.223666,2
2C,"Ellaiamman koil, Chennai",06:01:00,13.0341011,80.2250809,12
2C,"Lakshmi koil, Chennai",06:05:00,13.1005217,80.2885197,6
2C,"Cemetery road, Chennai",06:13:00,13.0302942,80.2628552,4
3,"Alagappa Road, Chennai",06:25:00,13.0792341,80.2573779,11
3,"Mummy Daddy, Chennai",06:32:00,13.0835386,80.2399315,17
30,"Natesan Nagar, Chennai",06:30:00,13.0568683,80.1871798,6
30,"Sai Nagar Bus Stop, Chennai",06:32:00,13.0598825,80.1953348,5
30,"Chinmaya Nagar Bus Stop, Chennai",06:35:00,13.0627931,80.19718,20
30C,"Elango Nagar, Chennai",06:40:00,12.9715538,80.2523792,2
30C,"Lakshmi Nagar, Chennai",06:47:00,13.1278684,80.1987111,6
31,"Sangamam Hotel, Chennai",06:03:00,13.0349987,80.2163485,11
31,"Madras Coffee House, Chennai",06:17:00,12.9961883,80.2702881,16
31,"Panagal Park, Chennai",06:21:00,13.0410311,80.2332635,16
31,"Nalli Silks, Chennai",06:24:00,13.0844326,80.2155713,1
31,"Ayodhya Mandapam, Chennai",06:28:00,13.0391687,80.2209492,9
31,"Postal Colony, Chennai",06:29:00,13.0338431,80.2725698,6
31C,"Postal Colony, Chennai",06:35:00,13.0338431,80.2725698,16
32,"Vasanth & Co, Chennai",06:18:00,12.9758709,80.1931061,3
32,"Srinivasa Theatre, Chennai",06:25:00,13.0310229,80.2247272,20
32C,"Kasi Theatre, Chennai",06:02:00,13.0294853,80.2084902,4
32C,"Ramapuram, Chennai",06:35:00,13.0298609,80.1780333,19
33,"Sivan Park, Chennai",06:20:00,13.0419806,80.204972,3
33,"Hotel Saravana Bhavan, Chennai",06:25:00,12.9963059,80.1901749,19
33,"Ajantha, Chennai",06:29:00,13.0373344,80.1964198,20
34,"Ramachandra, Chennai",06:45:00,13.1535657,80.2344569,7
34,"Ambedkar Statue, Chennai",06:48:00,13.1273041,80.153765,20
34B,"Kattupakkam, Chennai",06:45:00,13.0430617,80.122765,9
34B,"Aravind Eye Hospital, Chennai",06:55:00,13.0532213,80.1246942,1
35,"Krishna Nagar, Chennai",06:04:00,11.9375659,79.8215921,8
35,"Pozhichalur Church, Chennai",06:42:00,12.9871836,80.1424097,7
35A,"MGR Statue, Chennai",06:55:00,13.031501,80.1913595,18
35B,"Indian Bank, Chennai",06:46:00,13.0279346,80.2087319,8
35C,"Andarkuppam, Chennai",06:39:00,13.1938755,80.2685646,1
35C,"Mangadu, Chennai",06:51:00,13.0209113,80.1259365,11
35D,"Pozhichalur Church, Chennai",06:40:00,12.9871836,80.1424097,18
35E,"Mangadu, Chennai",06:45:00,13.0209113,80.1259365,10
36,"Bai Kadai, Chennai",06:45:00,13.0198261,80.1430544,3
36C,"Porur EB, Chennai",06:39:00,13.0320131,80.158304,7
37,"DLF, Chennai",06:45:00,12.8709575,80.2057047,16
37,"Saravana Stores, Chennai",06:51:00,13.0862345,80.2569675,16
37,"Police Station, Chennai",06:53:00,13.0683459,80.2135958,20
37B,"Indian Bank, Chennai",07:08:00,13.0279346,80.2087319,17
37B,"Perumal Koil, Chennai",07:12:00,13.07623,80.2675221,2
37D,"Chembarambakkam, Chennai",07:01:00,13.016769,80.1367942,1
38,"State Bank, Chennai",05:40:00,10.9610351,78.0651603,16
38C,"Housing Board, Chennai",06:02:00,13.0084674,80.2475552,12
39,"KK Nagar, Chennai",06:17:00,13.0386493,80.2052158,5
39C,"Sunguvarchatram, Chennai",07:01:00,12.9241739,79.8863223,5
3C,"Murugan Hospital, Chennai",06:35:00,13.0833684,80.234299,9
3C,"Kallarai- Road, Chennai",06:37:00,13.0491896,80.1054234,9
4,"Pudupet, Chennai",06:02:00,13.0712018,80.2669603,3
4,"Chintadripet Fish Market, Chennai",06:15:00,13.0752222,80.2698578,19
4,"Chintadripet Market, Chennai",06:17:00,13.0748904,80.2695735,16
4,"Egmore Court, Chennai",06:22:00,13.0716607,80.2646506,16
40,"Perumal Koil, Chennai",06:02:00,13.07623,80.2675221,3
40,"Chetty Street, Chennai",06:17:00,13.0929502,80.2288101,20
40,"Tollgate, Chennai",06:21:00,13.1431344,80.2963291,1
40,"Periyar Nagar, Chennai",06:22:00,13.1151671,80.223666,20
40,"Pachaiyappa's College, Chennai",06:23:00,13.0729673,80.2330386,11
40A,"Walajabad, Chennai",06:42:00,12.9643577,80.2164149,17
40A,"Oragadam, Chennai",06:55:00,13.130791,80.1529145,8
40A,"Casagrand, Chennai",07:01:00,12.9521696,80.2466751,4
40D,"Housing Board, Chennai",06:20:00,13.0084674,80.2475552,6
41,"Muthukadai, Chennai",05:05:00,12.919781,79.3377724,8
41,"Walajapet GH, Chennai",05:56:00,12.9186068,79.3425052,20
41,"Housing Board, Chennai",06:01:00,13.0084674,80.2475552,3
41A,"Thamaraipakkam, Chennai",05:02:00,13.2245432,80.0179525,16
41A,"Arcot, Chennai",05:04:00,13.0424698,80.1811253,3
41C,"Sathuvachari, Chennai",05:22:00,12.9341751,79.1460234,18
42,"Old Bus Stand, Chennai",06:13:00,12.6970916,79.9765648,14
42,"New Bus Stand, Chennai",06:14:00,10.7656193,79.1258798,18
42,"Naidu Mess, Chennai",06:33:00,13.0143188,80.2248506,2
42A,"Naidu Mess, Chennai",06:35:00,13.0143188,80.2248506,3
42C,"Anjaneyar Kovil, Chennai",05:38:00,12.97431,80.2556251,16
42C,"Salai, Chennai",05:57:00,12.8765427,80.2270076,9
42C,"Kainoor, Chennai",06:07:00,10.5126921,76.2591706,4
42C,"Nethaji Nagar, Chennai",06:08:00,13.0646224,80.1845452,1
42C,"Venkatespuram, Chennai",06:15:00,13.046189,80.2087942,4
42C,"Mettukuppam, Chennai",06:37:00,13.0592324,80.1746118,1
42C,"Narasingapuram, Chennai",06:39:00,13.0690224,80.2711657,14
43,"Arcot Kuppam, Chennai",06:01:00,13.2114522,79.7120089,16
43,"Kanakammachathram, Chennai",06:15:00,13.203063,79.7676416,20
43,"Pandur, Chennai",06:45:00,13.1508648,79.860131,8
43,"Mevalurkuppam, Chennai",07:03:00,12.9998921,79.9688887,7
43,"Chatram, Chennai",07:15:00,10.8314408,78.6936276,3
44,"Santhavellore, Chennai",06:05:00,12.917389,79.8629556,17
44,"Thirumangalam, Chennai",06:55:00,13.085335,80.201518,1
44,"Mambakkam, Chennai",07:05:00,12.9040038,80.1871795,16
44,"Sriperumbudur Police Station, Chennai",07:12:00,12.9637993,79.9491741,12
4C,"Mehta Nagar, Chennai",06:04:00,13.0703783,80.2268067,19
4C,"Loyola College, Chennai",06:35:00,13.0617032,80.2346118,14
4C,"Nungambakkam Railway Station, Chennai",06:38:00,13.065841,80.232839,6
4C,"Anna Arch, Chennai",06:45:00,13.075358,80.2176034,6
5,"Chintamani, Chennai",06:30:00,13.0472403,80.1853252,13
5,"K3 Police station, Chennai",06:33:00,13.0683459,80.2135958,19
5,"MMDA, Chennai",06:38:00,13.0630102,80.2115596,8
5A,"Maduravoyal Ration shop, Chennai",06:05:00,13.0665327,80.1748903,2
5A,"Maduravoyal Market, Chennai",06:53:00,13.0631224,80.1672127,1
5C,"Vallavan Hotel, Chennai",06:42:00,13.0638481,80.2118638,15
5C,"SAF Games Village, Chennai",06:44:00,13.0644894,80.2078485,1
5C,"Nerkundram, Chennai",06:52:00,13.0688386,80.1838987,5
5C,"Vengaya Mandi, Chennai",06:54:00,13.0697316,80.1816826,16
5D,"Nerkundram, Chennai",07:01:00,13.0688386,80.1838987,19
6,"Ayyappan Temple, Chennai",06:04:00,12.9860125,80.1953773,4
6,"Senthil Nursing Home, Chennai",06:05:00,13.0849671,80.2004752,3
6,"Gangaiamman koil, Chennai",06:27:00,13.0168011,80.1930883,17
6,"Lotus Colony, Chennai",06:29:00,13.0296417,80.2403771,17
6,"Kandasamy College, Chennai",06:36:00,13.0858113,80.218134,12
6,"Nalli Silks, Chennai",06:38:00,13.0844326,80.2155713,14
6,"Blue star, Chennai",06:42:00,13.0849958,80.2109928,6
6,"Hot chips, Chennai",06:48:00,13.0982922,80.2804309,3
6,"CPWD Quarters, Chennai",06:52:00,13.0830263,80.1966129,9
7,"Anna Nagar East 6th Avenue, Chennai",06:39:00,13.0852124,80.2258887,5
7,"Chennai Mobiles, Chennai",06:41:00,12.9743085,80.1923059,17
7,"Reliance Fresh, Chennai",06:54:00,13.0922181,80.2173031,14
7A,"Golden flats, Chennai",06:48:00,13.0883017,80.1784121,3
7C,"Collector nagar, Chennai",06:43:00,13.0884944,80.1909707,1
8,"Anna Nagar West Depot, Chennai",06:04:00,13.0939333,80.1980855,20
8,"Anbu Colony, Chennai",06:39:00,12.9775803,80.2618165,1
8C,"Waves, Chennai",06:40:00,13.0870093,80.1928676,3
8C,"Water Tank, Chennai",06:47:00,12.969588,80.2471352,18
9,"Spartan school, Chennai",06:40:00,13.0865306,80.1801067,10
9A,"SBI, Chennai",06:55:00,13.0221607,80.181209,3
9A,"Greater Chennai corporation park, Chennai",06:59:00,13.0818961,80.271828,8
9A,"MGR University, Chennai",07:05:00,13.0097685,80.2179509,14
9B,"Grace Super Market, Chennai",06:45:00,13.0473227,80.2263691,18
9B,"Ambedkar Ground, Chennai",06:46:00,13.0775362,80.1784899,15
